campaign_ref,campaign_title,channel_type,launch_date,completion_date,allocated_budget,current_spend,total_impressions,total_clicks,conversion_count,conversion_rate,ctr_rate,avg_cpc,roi_percentage,campaign_status,target_segment,campaign_manager,ad_platform,test_variant,created_timestamp
263,Year End Social Campaign 2024,Social Media,2025-10-31,2025-12-11,38589.63,35107.53,2715422.0,42654.0,1243.0,2.91,1.57,0.82,574.0,Completed,Social Followers,Brian Wilson,Meta Ads,,2025-10-23T00:00:00Z
264,Prime Day Search Push 2023,Search,2025-11-27,2026-01-13,53574.49,28335.25,4439884.0,155207.0,4894.0,3.15,3.5,0.18,1000.0,Active,Newsletter Subscribers,Emily Rodriguez,Google Ads,,2025-11-05T00:00:00Z
265,Product Showcase Social 2024 #265,Social Media,2025-11-21,2026-01-16,57292.96,29062.2,2476733.0,37147.0,1202.0,3.24,1.5,0.78,450.4,Active,"Premium Shoppers, Millennials 25-34, Lapsed Customers",Chris Anderson,Instagram,Control,2025-10-28T00:00:00Z
266,Labor Day Direct Mail 2025,Direct Mail,2026-03-11,2026-05-13,26867.93,0.0,,,,,,,,Planned,"Gen Z 18-24, Mobile Users, Premium Shoppers",Stephanie Davis,,,2026-03-07T00:00:00Z
267,Black Friday Social Campaign 2025,Social Media,2024-11-05,2025-01-03,52905.75,47787.59,2741189.0,42121.0,1225.0,2.91,1.54,1.13,203.51,Completed,"Social Followers, Homeowners",Sarah Johnson,Instagram,,2024-10-16T00:00:00Z
268,Win-Back Mailer 2023,Direct Mail,2025-10-23,2025-11-26,35940.43,37599.04,,,,,,,,Completed,New Customers,Emily Rodriguez,,,2025-10-09T00:00:00Z
269,Winter Newsletter Campaign 2025,Email,2025-11-11,2026-01-04,932.06,745.89,140347.0,7184.0,306.0,4.26,5.12,0.1,1000.0,Active,Email Engaged,David Kim,,,2025-10-31T00:00:00Z
270,Winter Newsletter Campaign 2023,Email,2025-06-12,2025-07-04,6812.29,6595.83,1242838.0,46621.0,714.0,1.53,3.75,0.14,835.63,Completed,"Social Followers, High LTV Customers",James Miller,,,2025-05-16T00:00:00Z
271,Prime Day Social Campaign 2023,Social Media,2025-01-06,2025-01-29,91551.74,81479.73,6005766.0,110079.0,2999.0,2.72,1.83,0.74,711.82,Completed,VIP Customers,Sarah Johnson,Instagram,,2024-12-22T00:00:00Z
272,Spring Video Campaign 2024,Video,2025-11-19,2026-01-22,38132.32,19819.9,1022728.0,21888.0,657.0,3.0,2.14,0.91,336.03,Active,Lapsed Customers,James Miller,TikTok,,2025-11-09T00:00:00Z
273,Community Engagement 2024 #273,Social Media,2025-11-09,2025-12-11,2026.58,1687.52,309902.0,8561.0,166.0,1.94,2.76,0.2,1000.0,Completed,"Lapsed Customers, VIP Customers",Emily Rodriguez,LinkedIn,,2025-10-12T00:00:00Z
274,Q4 Video Campaign 2025,Video,2025-02-13,2025-03-01,17746.7,16178.05,950040.0,21972.0,117.0,0.53,2.31,0.74,80.45,Completed,Mobile Users,Stephanie Davis,Google Ads,,2025-01-28T00:00:00Z
275,Back to School Banner Ads 2023,Display,2025-07-30,2025-10-03,91079.94,94182.69,12526846.0,73517.0,1959.0,2.66,0.59,1.28,364.76,Completed,"Frequent Buyers, Lapsed Customers, Mobile Users",Rachel Green,Google Ads,,2025-07-03T00:00:00Z
276,Native Advertising 2023,Display,2025-08-17,2025-09-23,28312.3,26491.52,2424641.0,4441.0,149.0,3.36,0.18,5.97,50.7,Completed,"Tech Enthusiasts, Lapsed Customers",Andrew Thompson,Google Ads,,2025-07-22T00:00:00Z
277,Winter Social Push 2025,Social Media,2025-05-23,2025-06-09,13811.79,11364.42,669603.0,6651.0,217.0,3.26,0.99,1.71,96.61,Completed,Budget Conscious,Rachel Green,Meta Ads,,2025-05-08T00:00:00Z
278,Easter Video Push 2024,Video,2025-12-16,2026-04-06,46981.45,3877.85,500600.0,3556.0,83.0,2.33,0.71,1.09,286.79,Active,Weekend Browsers,Kevin Brown,Meta Ads,Variant B,2025-12-10T00:00:00Z
279,Prime Day Search Push 2025,Search,2025-11-26,2026-02-26,31280.54,10348.39,613471.0,15756.0,745.0,4.73,2.57,0.66,379.36,Active,Email Engaged,Amanda Lee,Google Ads,,2025-11-21T00:00:00Z
280,Black Friday Banner Ads 2023,Display,2025-11-20,2026-01-28,14870.65,6391.71,627839.0,2154.0,30.0,1.39,0.34,2.97,-72.37,Active,"VIP Customers, Frequent Buyers",James Miller,Google Ads,,2025-11-07T00:00:00Z
281,Holiday Banner Ads 2023,Display,2026-02-17,2026-04-19,16740.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Premium Shoppers, Tech Enthusiasts",Jessica Martinez,Google Ads,,2026-01-19T00:00:00Z
282,Q1 Video Campaign 2025,Video,2024-11-13,2025-01-14,80512.54,71392.68,7600154.0,102701.0,542.0,0.53,1.35,0.7,125.58,Completed,Newsletter Subscribers,Kevin Brown,TikTok,Control,2024-10-17T00:00:00Z
283,Easter Search Push 2023 #283,Search,2026-03-02,2026-04-07,25545.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Tech Enthusiasts, Email Engaged, Lapsed Customers",Kevin Brown,Google Ads,Variant A,2026-01-31T00:00:00Z
284,Brand Awareness Display 2024 #284,Display,2025-12-03,2026-04-01,27361.05,4107.17,315341.0,2475.0,89.0,3.6,0.78,1.66,98.73,Active,Desktop Users,Jessica Martinez,Google Ads,,2025-11-10T00:00:00Z
285,Remarketing Search 2023 #285,Search,2026-02-26,2026-03-16,91883.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Tech Enthusiasts, Newsletter Subscribers, Returning Customers",James Miller,Google Ads,,2026-02-08T00:00:00Z
286,Valentine Social Campaign 2025,Social Media,2025-11-12,2026-01-31,94722.86,47011.87,4878791.0,133632.0,6071.0,4.54,2.74,0.35,,Paused,Email Engaged,Amanda Lee,LinkedIn,,2025-10-21T00:00:00Z
287,Q2 Newsletter Campaign 2023,Email,2025-11-27,2026-01-03,4217.23,2966.74,199957.0,12726.0,709.0,5.57,6.36,0.23,,Paused,"Millennials 25-34, Social Followers, Homeowners",Sarah Johnson,,Control,2025-11-10T00:00:00Z
288,Q2 Search Campaign 2023 #288,Search,2025-12-16,2026-04-13,21196.11,1585.45,178382.0,17312.0,1134.0,6.55,9.71,0.09,1000.0,Active,"Social Followers, Cart Abandoners",Emily Rodriguez,Google Ads,,2025-12-08T00:00:00Z
289,Audience Display Campaign 2023 #289,Display,2025-05-13,2025-06-02,88966.65,73005.91,5530232.0,22389.0,494.0,2.21,0.4,3.26,-40.04,Completed,Holiday Shoppers,Stephanie Davis,Meta Ads,,2025-04-25T00:00:00Z
290,Spring Newsletter Campaign 2024,Email,2025-03-15,2025-05-03,4241.05,4153.45,787069.0,49712.0,3188.0,6.41,6.32,0.08,1000.0,Completed,Mobile Users,Sarah Johnson,,,2025-03-07T00:00:00Z
291,Testimonial Videos 2025,Video,2025-11-19,2026-01-09,37328.98,21349.73,1991054.0,22072.0,667.0,3.02,1.11,0.97,302.95,Active,"Fashion Forward, VIP Customers",Jessica Martinez,Meta Ads,,2025-10-20T00:00:00Z
292,Easter Email Blast 2023,Email,2025-10-24,2025-12-18,3260.25,2974.9,149116.0,4396.0,131.0,2.98,2.95,0.68,263.45,Completed,"New Customers, Cart Abandoners, First-Time Buyers",Laura Garcia,,,2025-10-16T00:00:00Z
293,Trending Topic Campaign 2024 #293,Social Media,2025-12-13,2026-03-28,83082.58,9349.83,1185910.0,7358.0,346.0,4.7,0.62,1.27,167.51,Active,"First-Time Buyers, Millennials 25-34, Newsletter Subscribers",Chris Anderson,Meta Ads,,2025-11-23T00:00:00Z
294,Testimonial Videos 2023,Video,2025-12-07,2026-01-13,4034.84,1578.04,240807.0,5280.0,185.0,3.5,2.19,0.3,944.78,Active,Lapsed Customers,Stephanie Davis,Google Ads,,2025-12-02T00:00:00Z
295,Q1 Social Push 2023,Social Media,2025-09-05,2025-09-13,30107.45,4799.49,784026.0,4906.0,84.0,1.71,0.63,0.98,,Cancelled,"VIP Customers, Weekend Browsers, Fashion Forward",Jessica Martinez,LinkedIn,,2025-08-13T00:00:00Z
296,Year End Banner Ads 2025,Display,2025-11-24,2026-03-13,6318.37,1439.18,84547.0,127.0,3.0,2.36,0.15,11.33,-40.29,Active,Fashion Forward,Chris Anderson,Google Ads,,2025-11-10T00:00:00Z
297,Memorial Day Search Push 2025,Search,2025-08-09,2025-10-29,79020.09,77545.88,4027990.0,220769.0,16138.0,7.31,5.48,0.35,1000.0,Completed,Frequent Buyers,Brian Wilson,Google Ads,,2025-07-27T00:00:00Z
298,Event Reminder SMS 2023,SMS,2025-11-04,2026-01-10,6579.72,5130.02,490732.0,43884.0,2536.0,5.78,8.94,0.12,1000.0,Active,"Budget Conscious, Newsletter Subscribers",Chris Anderson,,,2025-10-05T00:00:00Z
299,Social Proof Campaign 2025 #299,Social Media,2025-07-07,2025-08-08,5803.02,4786.15,483903.0,11263.0,363.0,3.22,2.33,0.42,514.25,Completed,"Parents, Weekend Browsers, Mobile Users",Rachel Green,Meta Ads,,2025-06-10T00:00:00Z
300,Trending Topic Campaign 2024 #300,Social Media,2025-10-30,2026-01-06,74228.43,60442.11,3818552.0,67574.0,1893.0,2.8,1.77,0.89,519.6,Active,Budget Conscious,James Miller,Instagram,Variant A,2025-10-05T00:00:00Z
301,Contextual Targeting 2025 #301,Display,2025-08-02,2025-08-24,73953.03,68632.38,9598297.0,73559.0,3223.0,4.38,0.77,0.93,345.22,Completed,"Tech Enthusiasts, Fashion Forward",Amanda Lee,Google Ads,,2025-07-05T00:00:00Z
302,Summer Search Campaign 2025,Search,2025-08-03,2025-08-31,7516.81,1330.61,88088.0,5695.0,492.0,8.64,6.47,0.23,,Cancelled,"Returning Customers, Newsletter Subscribers, Budget Conscious",Emily Rodriguez,Google Ads,,2025-07-04T00:00:00Z
303,Labor Day Social Campaign 2025,Social Media,2025-05-04,2025-07-14,68638.59,58394.75,5828482.0,78247.0,3490.0,4.46,1.34,0.75,542.4,Completed,"Homeowners, Tech Enthusiasts",Kevin Brown,Instagram,Variant B,2025-04-23T00:00:00Z
304,Social Contest Campaign 2024 #304,Social Media,2025-06-20,2025-09-08,98720.81,90032.48,5023102.0,51222.0,634.0,1.24,1.02,1.76,28.5,Completed,Budget Conscious,Sarah Johnson,LinkedIn,,2025-05-29T00:00:00Z
305,Year End Social Campaign 2023,Social Media,2025-03-07,2025-06-01,8129.96,6639.68,612259.0,13671.0,224.0,1.64,2.23,0.49,384.17,Completed,"Frequent Buyers, New Customers, Social Followers",Chris Anderson,Meta Ads,,2025-02-16T00:00:00Z
306,Valentine Search Push 2025,Search,2026-01-25,2026-02-25,30568.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Gen Z 18-24, VIP Customers, New Customers",Emily Rodriguez,Google Ads,,2026-01-11T00:00:00Z
307,Competitor Conquest 2024 #307,Search,2025-12-11,2026-02-10,66071.26,15353.19,818192.0,17012.0,413.0,2.43,2.08,0.9,75.34,Active,Homeowners,Jessica Martinez,Google Ads,,2025-12-02T00:00:00Z
308,Easter Search Push 2024 #308,Search,2025-10-30,2026-02-20,46202.79,18629.67,2458664.0,108817.0,5471.0,5.03,4.43,0.17,1000.0,Active,"Gen Z 18-24, Returning Customers",Sarah Johnson,Google Ads,Variant A,2025-10-08T00:00:00Z
309,Fall Newsletter Campaign 2023,Email,2025-01-23,2025-04-12,995.67,984.85,66745.0,2431.0,62.0,2.55,3.64,0.41,690.7,Completed,New Customers,David Kim,,Variant A,2025-01-03T00:00:00Z
310,Native Advertising 2023 #310,Display,2025-04-24,2025-06-02,30376.22,29111.43,5461595.0,17383.0,628.0,3.61,0.32,1.67,308.44,Completed,"Fashion Forward, Tech Enthusiasts",Rachel Green,Meta Ads,Control,2025-03-28T00:00:00Z
311,Q4 Display Ads 2025,Display,2025-11-29,2026-01-21,28433.52,11411.23,704534.0,5335.0,263.0,4.93,0.76,2.14,109.39,Active,Mobile Users,Nicole Taylor,Meta Ads,Control,2025-11-19T00:00:00Z
312,Valentine Email Blast 2023 #312,Email,2025-10-04,2025-10-30,7048.07,367.81,55413.0,3415.0,82.0,2.4,6.16,0.11,,Cancelled,Newsletter Subscribers,Andrew Thompson,,,2025-09-26T00:00:00Z
313,Influencer Partnership 2025 #313,Social Media,2026-01-05,2026-04-05,18825.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Parents,Kevin Brown,Instagram,,2025-12-16T00:00:00Z
314,Social Video Ads 2023 #314,Video,2025-11-07,2025-12-30,67048.59,50072.74,5665020.0,57586.0,2530.0,4.39,1.02,0.87,329.68,Active,Frequent Buyers,David Kim,Meta Ads,,2025-10-11T00:00:00Z
315,Brand Awareness Drive 2025 #315,Social Media,2025-08-03,2025-09-06,61798.68,50109.61,3889671.0,110393.0,2646.0,2.4,2.84,0.45,988.67,Completed,"Tech Enthusiasts, Parents",Jessica Martinez,Meta Ads,,2025-07-29T00:00:00Z
316,Birthday Special Campaign 2025 #316,Email,2026-01-16,2026-03-08,4866.59,962.19,99344.0,5373.0,177.0,3.29,5.41,0.18,,Cancelled,"Mobile Users, Premium Shoppers",Michael Chen,,,2025-12-23T00:00:00Z
317,Labor Day Email Blast 2025,Email,2025-06-14,2025-09-09,3811.99,3052.42,191379.0,10720.0,497.0,4.64,5.6,0.28,845.87,Completed,"Tech Enthusiasts, VIP Customers",James Miller,,,2025-06-05T00:00:00Z
318,Fall Search Campaign 2025,Search,2026-03-03,2026-05-13,23626.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Premium Shoppers,Michael Chen,Google Ads,,2026-02-01T00:00:00Z
319,Q4 Newsletter Campaign 2024 #319,Email,2025-01-30,2025-04-26,1001.89,965.01,123285.0,6790.0,236.0,3.48,5.51,0.14,1000.0,Completed,"High LTV Customers, Weekend Browsers",Stephanie Davis,,,2025-01-26T00:00:00Z
320,Summer Search Campaign 2023,Search,2025-12-02,2026-03-12,68605.36,15829.93,1027710.0,60673.0,2332.0,3.84,5.9,0.26,,Paused,Frequent Buyers,Nicole Taylor,Google Ads,,2025-11-05T00:00:00Z
321,Easter Banner Ads 2023,Display,2025-12-17,2026-01-20,25928.28,6473.9,471418.0,3822.0,39.0,1.02,0.81,1.69,-57.19,Active,Email Engaged,Jessica Martinez,Google Ads,,2025-12-04T00:00:00Z
322,Winter Video Campaign 2025,Video,2025-12-09,2026-02-28,21233.37,4104.05,745855.0,18464.0,610.0,3.3,2.48,0.22,1000.0,Active,"Lapsed Customers, Tech Enthusiasts, Loyalty Members",Brian Wilson,Google Ads,,2025-11-19T00:00:00Z
323,Cyber Monday Search Push 2025,Search,2025-12-03,2026-01-25,81846.42,32155.56,1947211.0,164179.0,4688.0,2.86,8.43,0.2,,Paused,High LTV Customers,James Miller,Google Ads,,2025-11-20T00:00:00Z
324,Labor Day Social Campaign 2024,Social Media,2025-12-14,2026-01-17,18465.65,4874.4,334924.0,7723.0,314.0,4.07,2.31,0.63,393.06,Active,"Loyalty Members, Budget Conscious, Gen Z 18-24",Rachel Green,Meta Ads,Variant A,2025-11-18T00:00:00Z
325,VIP Early Access SMS 2023,SMS,2025-10-02,2025-11-16,5526.78,5038.76,387237.0,54281.0,2298.0,4.23,14.02,0.09,1000.0,Completed,"High LTV Customers, Mobile Users",Brian Wilson,,Control,2025-09-08T00:00:00Z
326,Q1 Display Ads 2024,Display,2026-01-04,2026-03-25,73004.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,First-Time Buyers,David Kim,Google Ads,,2025-12-19T00:00:00Z
327,Community Engagement 2023 #327,Social Media,2025-10-19,2025-12-03,79651.32,79923.03,4259504.0,32634.0,618.0,1.89,0.77,2.45,21.18,Completed,"Parents, Returning Customers",Emily Rodriguez,LinkedIn,Variant B,2025-09-29T00:00:00Z
328,High Intent Keywords 2024 #328,Search,2025-11-29,2026-03-11,83460.58,19073.58,1970971.0,167388.0,9559.0,5.71,8.49,0.11,,Paused,Cart Abandoners,Nicole Taylor,Google Ads,,2025-11-08T00:00:00Z
329,Memorial Day Social Campaign 2025,Social Media,2025-01-22,2025-03-20,23576.48,22371.31,1196242.0,16762.0,616.0,3.67,1.4,1.33,336.9,Completed,"Loyalty Members, Newsletter Subscribers",Rachel Green,TikTok,,2024-12-24T00:00:00Z
330,Year End Video Push 2024,Video,2025-03-01,2025-05-10,70281.51,64039.92,3973880.0,80143.0,1728.0,2.16,2.02,0.8,428.05,Completed,"Social Followers, Gen Z 18-24",Brian Wilson,TikTok,,2025-02-19T00:00:00Z
331,Summer Newsletter Campaign 2024,Email,2025-02-03,2025-04-04,1134.02,934.06,74884.0,3477.0,149.0,4.29,4.64,0.27,1000.0,Completed,Weekend Browsers,Brian Wilson,,,2025-01-05T00:00:00Z
332,Remarketing Search 2024 #332,Search,2025-12-14,2026-02-20,18802.85,3235.68,374672.0,22465.0,1930.0,8.59,6.0,0.14,1000.0,Active,"Desktop Users, Budget Conscious, Tech Enthusiasts",Michael Chen,Google Ads,,2025-11-14T00:00:00Z
333,Influencer Partnership 2023 #333,Social Media,2026-01-29,2026-03-03,78608.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,High LTV Customers,Amanda Lee,Instagram,,2025-12-30T00:00:00Z
334,Prime Day Banner Ads 2024,Display,2025-11-15,2026-01-09,46319.26,34730.75,1811107.0,13246.0,481.0,3.63,0.73,2.62,,Paused,"First-Time Buyers, Parents",Brian Wilson,Google Ads,Control,2025-11-12T00:00:00Z
335,Cyber Monday Search Push 2024 #335,Search,2026-03-04,2026-04-06,90524.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Lapsed Customers, Email Engaged",Nicole Taylor,Google Ads,,2026-02-10T00:00:00Z
336,Back to School Search Push 2023,Search,2025-11-12,2025-12-30,21907.17,21547.63,1281168.0,41079.0,1939.0,4.72,3.21,0.52,1000.0,Active,New Customers,Laura Garcia,Google Ads,,2025-10-27T00:00:00Z
337,Holiday Email Blast 2024,Email,2025-10-04,2025-11-05,7434.38,7314.73,440347.0,17428.0,707.0,4.06,3.96,0.42,1000.0,Completed,New Customers,Chris Anderson,,,2025-09-09T00:00:00Z
338,Competitor Conquest 2025 #338,Search,2025-11-15,2026-01-06,42378.26,30469.46,1725706.0,111502.0,7852.0,7.04,6.46,0.27,1000.0,Active,"Weekend Browsers, Cart Abandoners",Brian Wilson,Google Ads,,2025-10-21T00:00:00Z
339,Q4 Newsletter Campaign 2025,Email,2025-11-28,2026-01-07,6141.79,4258.52,316522.0,15629.0,1223.0,7.83,4.94,0.27,1000.0,Active,Mobile Users,Sarah Johnson,,,2025-11-02T00:00:00Z
340,Back to School Banner Ads 2024,Display,2024-12-20,2025-02-10,57429.01,50580.08,3907781.0,36918.0,524.0,1.42,0.94,1.37,120.64,Completed,Gen Z 18-24,Chris Anderson,Meta Ads,,2024-12-02T00:00:00Z
341,Summer Search Campaign 2025 #341,Search,2024-12-23,2025-02-03,95499.88,79418.92,5232485.0,500413.0,37641.0,7.52,9.56,0.16,1000.0,Completed,"Homeowners, High LTV Customers",Amanda Lee,Google Ads,,2024-12-06T00:00:00Z
342,Back to School Email Blast 2025,Email,2026-03-16,2026-05-25,6848.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Social Followers, Weekend Browsers",Nicole Taylor,,Variant B,2026-03-02T00:00:00Z
343,Cyber Monday Social Campaign 2025,Social Media,2025-11-19,2026-01-16,89064.61,50776.53,5177451.0,63508.0,2997.0,4.72,1.23,0.8,1000.0,Active,"Newsletter Subscribers, Cart Abandoners",Nicole Taylor,TikTok,,2025-10-27T00:00:00Z
344,Black Friday Search Push 2023,Search,2025-11-14,2026-01-14,88532.32,54538.28,10748770.0,1029739.0,93869.0,9.12,9.58,0.05,1000.0,Active,Weekend Browsers,Kevin Brown,Google Ads,,2025-10-30T00:00:00Z
345,Winter Search Campaign 2023,Search,2025-04-29,2025-05-25,44097.27,44584.31,8911209.0,480227.0,14336.0,2.99,5.39,0.09,1000.0,Completed,Homeowners,Jessica Martinez,Google Ads,,2025-04-08T00:00:00Z
346,Product Showcase Social 2024 #346,Social Media,2025-08-16,2025-09-04,51712.81,48929.36,5946955.0,108135.0,1561.0,1.44,1.82,0.45,370.13,Completed,"Homeowners, Premium Shoppers",Laura Garcia,Meta Ads,,2025-08-01T00:00:00Z
347,Valentine Video Push 2024,Video,2025-10-10,2025-10-19,7962.97,1180.84,86575.0,1220.0,33.0,2.7,1.41,0.97,,Cancelled,"High LTV Customers, Social Followers",Laura Garcia,TikTok,Variant A,2025-09-25T00:00:00Z
348,Holiday Email Blast 2025,Email,2024-11-01,2025-01-11,1222.74,1131.83,78768.0,4507.0,53.0,1.18,5.72,0.25,789.18,Completed,"Weekend Browsers, Premium Shoppers, Mobile Users",Andrew Thompson,,,2024-10-21T00:00:00Z
349,Cyber Monday Video Push 2025,Video,2025-11-23,2026-01-05,98562.24,80341.35,4884925.0,50042.0,808.0,1.61,1.02,1.61,51.84,Active,"Fashion Forward, New Customers, Tech Enthusiasts",Michael Chen,TikTok,,2025-11-17T00:00:00Z
350,Customer Win-Back Email 2025 #350,Email,2026-02-24,2026-03-14,3729.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"High LTV Customers, Tech Enthusiasts",David Kim,,,2026-02-08T00:00:00Z
351,Q3 Display Ads 2024,Display,2025-07-31,2025-08-30,27854.53,28447.5,3156129.0,25062.0,1189.0,4.74,0.79,1.14,791.65,Completed,Millennials 25-34,Sarah Johnson,Google Ads,,2025-07-23T00:00:00Z
352,Contextual Targeting 2025 #352,Display,2026-02-17,2026-05-15,21065.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Holiday Shoppers, High LTV Customers, Newsletter Subscribers",Stephanie Davis,Google Ads,Variant A,2026-01-25T00:00:00Z
353,Trending Topic Campaign 2023 #353,Social Media,2025-10-30,2025-12-31,22577.71,18835.49,1530746.0,41460.0,1159.0,2.8,2.71,0.45,973.82,Active,"Newsletter Subscribers, Budget Conscious, Millennials 25-34",Kevin Brown,TikTok,,2025-10-17T00:00:00Z
354,Q3 Video Campaign 2024,Video,2026-02-25,2026-05-13,95377.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Fashion Forward, Millennials 25-34, New Customers",Michael Chen,Google Ads,,2026-02-02T00:00:00Z
355,Prime Day Email Blast 2025 #355,Email,2025-09-05,2025-10-14,1934.4,1945.52,118284.0,8266.0,274.0,3.31,6.99,0.24,768.0,Completed,Millennials 25-34,Rachel Green,,,2025-08-14T00:00:00Z
356,Fall Video Campaign 2024,Video,2025-11-08,2026-03-03,99832.33,34805.34,2038468.0,29532.0,730.0,2.47,1.45,1.18,,Paused,"Desktop Users, Budget Conscious",Michael Chen,TikTok,,2025-10-22T00:00:00Z
357,Shopping Ads Campaign 2025 #357,Search,2025-02-27,2025-05-27,57632.77,56768.95,6223845.0,613407.0,17899.0,2.92,9.86,0.09,1000.0,Completed,Homeowners,Amanda Lee,Google Ads,,2025-01-30T00:00:00Z
358,Streaming TV Ads 2023 #358,Video,2026-01-29,2026-03-09,58003.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Weekend Browsers, Budget Conscious",David Kim,Meta Ads,,2026-01-01T00:00:00Z
359,Brand Keywords Campaign 2023 #359,Search,2026-03-22,2026-04-12,48571.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Social Followers, High LTV Customers",Kevin Brown,Google Ads,,2026-03-10T00:00:00Z
360,Contextual Targeting 2025 #360,Display,2025-03-21,2025-06-10,22797.38,22262.05,1517179.0,11344.0,545.0,4.8,0.75,1.96,424.0,Completed,"Email Engaged, Cart Abandoners",David Kim,Google Ads,,2025-03-14T00:00:00Z
361,Brand Story Video 2023,Video,2025-11-25,2026-02-10,37885.7,15047.81,1007222.0,5893.0,173.0,2.94,0.59,2.55,66.94,Active,"Parents, Mobile Users, Desktop Users",Andrew Thompson,Meta Ads,,2025-11-02T00:00:00Z
362,Black Friday Video Push 2023,Video,2024-12-09,2025-01-07,74877.36,63950.49,7386149.0,99708.0,820.0,0.82,1.35,0.64,196.41,Completed,Budget Conscious,Laura Garcia,Meta Ads,,2024-11-24T00:00:00Z
363,Labor Day Video Push 2025,Video,2025-12-11,2026-02-11,30050.46,7084.09,386279.0,3432.0,115.0,3.35,0.89,2.06,139.48,Active,"Newsletter Subscribers, Tech Enthusiasts",Rachel Green,TikTok,Variant A,2025-11-24T00:00:00Z
364,Coupon Mailer Campaign 2023,Direct Mail,2025-10-29,2025-11-24,22774.39,22974.43,,,,,,,,Completed,Loyalty Members,Nicole Taylor,,,2025-10-19T00:00:00Z
365,User Generated Content 2025 #365,Social Media,2024-11-09,2025-01-22,3409.4,3325.85,207174.0,5775.0,106.0,1.84,2.79,0.58,766.83,Completed,"Holiday Shoppers, New Customers, Gen Z 18-24",Sarah Johnson,TikTok,,2024-10-14T00:00:00Z
366,Labor Day Video Push 2023,Video,2025-02-23,2025-04-26,11992.55,10433.98,593105.0,6505.0,95.0,1.46,1.1,1.6,-1.82,Completed,Lapsed Customers,Andrew Thompson,Google Ads,Variant B,2025-02-05T00:00:00Z
367,Prime Day Email Blast 2025 #367,Email,2026-01-16,2026-02-03,1107.83,16.92,2588.0,56.0,1.0,1.79,2.16,0.3,,Cancelled,"High LTV Customers, Social Followers",Sarah Johnson,,Control,2026-01-06T00:00:00Z
368,Cyber Monday Social Campaign 2023,Social Media,2025-07-07,2025-08-21,16149.49,14755.32,1026085.0,15482.0,252.0,1.63,1.51,0.95,58.23,Completed,Holiday Shoppers,Michael Chen,Meta Ads,,2025-07-01T00:00:00Z
369,Social Contest Campaign 2023 #369,Social Media,2025-05-08,2025-05-28,6811.6,269.62,53376.0,286.0,11.0,3.85,0.54,0.94,,Cancelled,Premium Shoppers,Sarah Johnson,TikTok,,2025-05-02T00:00:00Z
370,Product Category Search 2023 #370,Search,2026-03-08,2026-05-13,38521.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Parents, Cart Abandoners",James Miller,Google Ads,,2026-03-04T00:00:00Z
371,Spring Display Ads 2024,Display,2025-07-29,2025-10-12,25386.27,26126.69,1984261.0,5234.0,178.0,3.4,0.26,4.99,-43.37,Completed,First-Time Buyers,Jessica Martinez,Google Ads,,2025-07-06T00:00:00Z
372,Fall Search Campaign 2025 #372,Search,2026-01-30,2026-04-28,17998.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"VIP Customers, Gen Z 18-24",Kevin Brown,Google Ads,,2026-01-01T00:00:00Z
373,Order Update SMS 2023,SMS,2025-09-22,2025-11-03,8898.21,7210.98,415151.0,33269.0,949.0,2.85,8.01,0.22,1000.0,Completed,"Social Followers, Loyalty Members",Stephanie Davis,,,2025-09-06T00:00:00Z
374,Black Friday Search Push 2025,Search,2025-03-23,2025-04-03,75027.18,4712.62,353001.0,12551.0,262.0,2.09,3.56,0.38,,Cancelled,"Parents, Premium Shoppers, Newsletter Subscribers",Rachel Green,Google Ads,,2025-03-08T00:00:00Z
375,Easter Search Push 2025,Search,2025-12-06,2026-02-18,86355.08,24177.43,2794365.0,261627.0,17269.0,6.6,9.36,0.09,1000.0,Active,"Mobile Users, Loyalty Members, Parents",James Miller,Google Ads,,2025-11-18T00:00:00Z
376,Q3 Video Campaign 2025,Video,2025-08-09,2025-09-21,53557.65,50403.94,6250743.0,93022.0,2510.0,2.7,1.49,0.54,1000.0,Completed,"Homeowners, Millennials 25-34",Sarah Johnson,TikTok,Variant B,2025-07-13T00:00:00Z
